kW,kVAr
263.7681159,121.7391304
270.531401,119.7101449
297.5845411,121.7391304
284.057971,117.6811594
273.9130435,97.39130435
219.8067633,79.13043478
201.2077295,71.01449275
189.3719807,64.92753623
160.6280193,64.92753623
113.2850242,52.75362319
123.4299517,54.7826087
182.6086957,56.8115942
162.3188406,52.75362319
165.7004831,52.75362319
162.3188406,54.7826087
158.9371981,52.75362319
211.352657,64.92753623
223.1884058,64.92753623
223.1884058,64.92753623
185.9903382,60.86956522
143.7198068,50.72463768
235.0241546,87.24637681
270.531401,103.4782609
294.2028986,103.4782609
250.2415459,87.24637681
233.3333333,85.2173913
202.8985507,77.10144928
213.0434783,89.27536232
231.6425121,97.39130435
206.2801932,89.27536232
162.3188406,60.86956522
153.8647343,52.75362319
142.0289855,54.7826087
128.5024155,54.7826087
155.5555556,62.89855072
164.0096618,68.98550725
209.6618357,101.4492754
267.1497585,123.7681159
238.4057971,117.6811594
231.6425121,113.6231884
273.9130435,129.8550725
282.3671498,123.7681159
289.1304348,131.884058
289.1304348,131.884058
273.9130435,123.7681159
248.5507246,115.6521739
253.6231884,111.5942029
213.0434783,103.4782609
246.8599034,109.5652174
290.821256,115.6521739
285.7487923,115.6521739
260.3864734,103.4782609
235.0241546,85.2173913
213.0434783,77.10144928
191.0628019,73.04347826
187.6811594,83.1884058
187.6811594,85.2173913
187.6811594,87.24637681
219.8067633,95.36231884
223.1884058,93.33333333
213.0434783,89.27536232
182.6086957,71.01449275
219.8067633,77.10144928
175.8454106,68.98550725
204.589372,77.10144928
250.2415459,87.24637681
262.0772947,85.2173913
258.6956522,87.24637681
148.7922705,54.7826087
211.352657,66.95652174
169.0821256,60.86956522
206.2801932,66.95652174
206.2801932,68.98550725
204.589372,68.98550725
202.8985507,64.92753623
175.8454106,71.01449275
246.8599034,87.24637681
192.7536232,75.07246377
152.173913,56.8115942
150.4830918,56.8115942
142.0289855,58.84057971
113.2850242,58.84057971
108.2125604,58.84057971
104.8309179,56.8115942
135.2657005,62.89855072
160.6280193,66.95652174
148.7922705,71.01449275
133.5748792,66.95652174
160.6280193,75.07246377
194.4444444,81.15942029
184.2995169,81.15942029
223.1884058,91.30434783
213.0434783,89.27536232
216.4251208,91.30434783
180.9178744,83.1884058
189.3719807,85.2173913
179.2270531,85.2173913
223.1884058,91.30434783
180.9178744,73.04347826
201.2077295,77.10144928
211.352657,81.15942029
135.2657005,62.89855072
104.8309179,60.86956522
179.2270531,73.04347826
143.7198068,66.95652174
114.9758454,56.8115942
104.8309179,54.7826087
172.4637681,58.84057971
165.7004831,56.8115942
152.173913,52.75362319
172.4637681,58.84057971
211.352657,64.92753623
180.9178744,60.86956522
211.352657,66.95652174
158.9371981,56.8115942
162.3188406,58.84057971
148.7922705,54.7826087
154.2028986,46.66666667
196.8115942,60.86956522
